SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
ADANIGREEN,Adani Green Energy Limited,EQ,18-Jun-18,10,1,INE364U01010,10
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-Nov-07,2,1,INE742F01042,2
ADANIPOWER,Adani Power Limited,EQ,20-Aug-09,2,1,INE814H01029,2
ADFFOODS,ADF Foods Limited,EQ,15-Sep-10,2,1,INE982B01027,2
ADOR,Ador Welding Limited,EQ,10-May-95,10,1,INE045A01017,10
ADSL,Allied Digital Services Limited,EQ,25-Jul-07,5,1,INE102I01027,5
ADVAIT,Advait Energy Transitions Limited,EQ,20-Jan-26,10,1,INE0ALI01010,10
ADVANCE,Advance Agrolife Limited,EQ,08-Oct-25,10,1,INE1B0W01010,10
ADVENTHTL,Advent Hotels International Limited,EQ,13-Nov-25,10,1,INE28GN01010,10
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,01-Aug-16,2,1,INE837H01020,2
AEGISLOG,Aegis Logistics Limited,EQ,03-Apr-96,1,1,INE208C01025,1
AEGISVOPAK,Aegis Vopak Terminals Limited,EQ,02-Jun-25,10,1,INE0INX01018,10
AEQUS,Aequs Limited,EQ,10-Dec-25,10,1,INE947N01017,10
AEROENTER,Aeroflex Enterprises Limited,EQ,21-Nov-22,2,1,INE065D01027,2
AEROFLEX,Aeroflex Industries Limited,EQ,31-Aug-23,2,1,INE024001021,2
AEROPLANE,Amir Chand Jagdish Kumar (Exports) Limited,EQ,02-Apr-26,10,1,INE05TO01019,10
AETHER,Aether Industries Limited,EQ,03-Jun-22,10,1,INE0BWX01014,10
AFCONS,Afcons Infrastructure Limited,EQ,04-Nov-24,10,1,INE101I01011,10
AFFLE,Affle 3i Limited,EQ,08-Aug-19,2,1,INE00WC01027,2
AGARIND,Agarwal Industrial Corporation Limited,EQ,26-May-14,10,1,INE204E01012,10
AGARWALEYE,Dr. Agarwal's Health Care Limited,EQ,04-Feb-25,1,1,INE943P01029,1
AGI,AGI Greenpac Limited,EQ,31-May-00,2,1,INE415A01038,2
AGIIL,Agi Infra Limited,EQ,15-Jul-24,1,1,INE976R01033,1
AGL,Allcargo Global Limited,EQ,03-Jul-26,2,1,INE1YPB01014,2
AHCL,Anlon Healthcare Limited,EQ,03-Sep-25,2,1,INE0Y8W01025,2
AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-Dec-09,2,1,INE758C01029,2
AIAENG,AIA Engineering Limited,EQ,14-Dec-05,2,1,INE212H01026,2
AIIL,Authum Investment & Infrastructure Limited,EQ,23-Apr-24,1,1,INE206F01022,1
AJANTPHARM,Ajanta Pharma Limited,EQ,29-May-00,2,1,INE031B01049,2
AJAXENGG,Ajax Engineering Limited,EQ,17-Feb-25,1,1,INE274Y01021,1
AJMERA,Ajmera Realty & Infra India Limited,EQ,16-Jun-09,2,1,INE298G01035,2
AKUMS,Akums Drugs and Pharmaceuticals Limited,EQ,06-Aug-24,2,1,INE09XN01023,2
ALBERTDAVD,Albert David Limited,EQ,14-Jun-16,10,1,INE155C01010,10
ALEMBICLTD,Alembic Limited,EQ,22-Sep-99,2,1,INE426A01027,2
ALGOQUANT,Algoquant Fintech Limited,EQ,06-Jan-26,1,1,INE598D01035,1
ALICON,Alicon Castalloy Limited,EQ,29-Sep-06,5,1,INE062D01024,5
ALIVUS,Alivus Life Sciences Limited,EQ,06-Aug-21,2,1,INE03Q201024,2
ALKEM,Alkem Laboratories Limited,EQ,23-Dec-15,2,1,INE540L01014,2
ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-Nov-07,2,1,INE150B01039,2
ALLCARGO,Allcargo Logistics Limited,EQ,23-Jun-06,2,1,INE418H01029,2
ALLDIGI,Alldigi Tech Limited,EQ,09-May-05,10,1,INE835G01018,10
ALLTIME,All Time Plastics Limited,EQ,14-Aug-25,2,1,INE0GV601021,2
ALOKINDS,Alok Industries Limited,EQ,19-Feb-20,1,1,INE270A01029,1
ALPINETEX,Alpine Texworld Limited,EQ,21-Jul-26,10,1,INE1JCQ01037,10
AMAGI,Amagi Media Labs Limited,EQ,21-Jan-26,5,1,INE121R01077,5
AMAL,Amal Limited,EQ,17-Aug-26,10,1,INE841D01013,10
AMBER,Amber Enterprises India Limited,EQ,30-Jan-18,10,1,INE371P01015,10
AMBIKCO,Ambika Cotton Mills Limited,EQ,29-Jan-08,10,1,INE540G01014,10
AMBUJACEM,Ambuja Cements Limited,EQ,18-Feb-98,2,1,INE079A01024,2
AMRUTANJAN,Amrutanjan Health Care Limited,EQ,02-Jan-15,1,1,INE098F01031,1
ANANDRATHI,Anand Rathi Wealth Limited,EQ,14-Dec-21,5,1,INE463V01026,5
ANANTRAJ,Anant Raj Limited,EQ,27-Sep-06,2,1,INE242C01024,2
ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,13-May-04,2,1,INE435A01051,2
ANDHRSUGAR,The Andhra Sugars Limited,EQ,01-Nov-95,2,1,INE715B01021,2
ANDREWYU,Andrew Yule & Company Limited,EQ,17-Aug-26,2,1,INE449C01025,2
ANGELONE,Angel One Limited,EQ,05-Oct-20,1,1,INE732I01021,1
ANNAPURNA,Annapurna Swadisht Limited,EQ,12-Aug-26,10,1,INE0MGM01017,10
ANTELOPUS,Antelopus Selan Energy Limited,EQ,26-Sep-06,10,1,INE818A01017,10
ANTHEM,Anthem Biosciences Limited,EQ,21-Jul-25,2,1,INE0CZ201020,2
ANUHPHR,Anuh Pharma Limited,EQ,20-Dec-24,5,1,INE489G01022,5
ANUP,The Anup Engineering Limited,EQ,01-Mar-19,10,1,INE294Z01018,10
ANURAS,Anupam Rasayan India Limited,EQ,24-Mar-21,10,1,INE930P01018,10
APARINDS,Apar Industries Limited,EQ,12-Jul-04,10,1,INE372A01015,10
APCOTEXIND,Apcotex Industries Limited,EQ,06-Sep-95,2,1,INE116A01032,2
APEX,Apex Frozen Foods Limited,EQ,04-Sep-17,10,1,INE346W01013,10
APLAPOLLO,APL Apollo Tubes Limited,EQ,14-Dec-11,2,1,INE702C01027,2
APLLTD,Alembic Pharmaceuticals Limited,EQ,20-Sep-11,2,1,INE901L01018,2
APOLLO,Apollo Micro Systems Limited,EQ,22-Jan-18,1,1,INE713T01028,1
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-Jan-96,5,1,INE437A01024,5
APOLLOPIPE,Apollo Pipes Limited,EQ,11-Nov-19,10,1,INE126J01016,10
APOLLOTYRE,Apollo Tyres Limited,EQ,31-May-95,1,1,INE438A01022,1
APTUS,Aptus Value Housing Finance India Limited,EQ,24-Aug-21,2,1,INE852O01025,2
AQYLON,Aqylon Nexus Limited,EQ,01-Apr-24,1,1,INE416A01051,1
ARDEE,Ardee Industries Limited,EQ,12-Aug-26,2,1,INE0XNF01022,2
ARE&M,Amara Raja Energy & Mobility Limited,EQ,05-Sep-03,1,1,INE885A01032,1
ARFIN,Arfin India Limited,EQ,22-Jul-25,1,1,INE784R01023,1
ARIES,Aries Agro Limited,EQ,11-Jan-08,10,1,INE298I01015,10
ARIHANT,Arihant Foundations & Housing Limited,EQ,20-Apr-26,10,1,INE413D01011,10
ARIHANTCAP,Arihant Capital Markets Limited,EQ,15-Jun-21,1,1,INE420B01036,1
ARIS,Arisinfra Solutions Limited,EQ,25-Jun-25,2,1,INE0H9P01028,2
ARKADE,Arkade Developers Limited,EQ,24-Sep-24,10,1,INE0QRL01017,10
ARMANFIN,Arman Financial Services Limited,EQ,14-Jun-16,10,1,INE109C01017,10
ARSSBL,Anand Rathi Share and Stock Brokers Limited,EQ,30-Sep-25,5,1,INE549H01021,5
ARTEMISMED,Artemis Medicare Services Limited,EQ,23-Jan-20,1,1,INE025R01021,1
ARVIND,Arvind Limited,EQ,08-Feb-95,10,1,INE034A01011,10
ARVINDFASN,Arvind Fashions Limited,EQ,08-Mar-19,4,1,INE955V01021,4
ARVSMART,Arvind SmartSpaces Limited,EQ,26-Aug-15,10,1,INE034S01021,10
ASAHIINDIA,Asahi India Glass Limited,EQ,18-Mar-98,1,1,INE439A01020,1
ASAL,Automotive Stampings and Assemblies Limited,EQ,12-Mar-02,10,1,INE900C01027,10
ASALCBR,Associated Alcohols & Breweries Ltd.,EQ,12-Feb-20,10,1,INE073G01016,10
ASHAPURMIN,Ashapura Minechem Limited,EQ,20-Sep-95,2,1,INE348A01023,2
ASHIANA,Ashiana Housing Limited,EQ,29-Jun-11,2,1,INE365D01021,2
ASHOKA,Ashoka Buildcon Limited,EQ,14-Oct-10,5,1,INE442H01029,5
ASHOKLEY,Ashok Leyland Limited,EQ,25-May-95,1,1,INE208A01029,1
ASIANENE,Asian Energy Services Limited,EQ,09-Dec-21,10,1,INE276G01015,10
ASIANHOTNR,Asian Hotels (North) Limited,EQ,07-Apr-10,10,1,INE363A01022,10
ASIANPAINT,Asian Paints Limited,EQ,31-May-95,1,1,INE021A01026,1
ASIANTILES,Asian Granito India Limited,EQ,23-Aug-07,10,1,INE022I01019,10
ASKAUTOLTD,ASK Automotive Limited,EQ,15-Nov-23,2,1,INE491J01022,2
ASTEC,Astec LifeSciences Limited,EQ,25-Nov-09,10,1,INE563J01010,10
ASTERDM,Aster DM Quality Care Limited,EQ,26-Feb-18,10,1,INE914M01019,10
ASTRAL,Astral Limited,EQ,20-Mar-07,1,1,INE006I01046,1
ASTRAMICRO,Astra Microwave Products Limited,EQ,01-Nov-04,2,1,INE386C01029,2
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,04-May-01,2,1,INE203A01020,2
ATALREAL,Atal Realtech Limited,EQ,12-May-23,2,1,INE0ALR01029,2
ATGL,Adani Total Gas Limited,EQ,05-Nov-18,1,1,INE399L01023,1
ATHERENERG,Ather Energy Limited,EQ,06-May-25,1,1,INE0LEZ01016,1
ATL,Allcargo Terminals Limited,EQ,10-Aug-23,2,1,INE0NN701020,2
ATLANTAELE,Atlanta Electricals Limited,EQ,29-Sep-25,2,1,INE0Z4F01028,2
ATUL,Atul Limited,EQ,06-May-98,10,1,INE100A01010,10
ATULAUTO,Atul Auto Limited,EQ,26-Jun-13,5,1,INE951D01028,5
AUBANK,AU Small Finance Bank Limited,EQ,10-Jul-17,10,1,INE949L01017,10
AURIONPRO,Aurionpro Solutions Limited,EQ,25-Oct-05,10,1,INE132H01018,10
AUROPHARMA,Aurobindo Pharma Limited,EQ,19-Jul-00,1,1,INE406A01037,1
AURUM,Aurum PropTech Limited,EQ,19-Aug-15,5,1,INE898S01029,5
AUTOAXLES,Automotive Axles Limited,EQ,29-May-03,10,1,INE449A01011,10
AVADHSUGAR,Avadh Sugar & Energy Limited,EQ,28-Jul-17,10,1,INE349W01017,10
AVALON,Avalon Technologies Limited,EQ,18-Apr-23,2,1,INE0LCL01028,2
AVANTEL,Avantel Limited,EQ,31-Jul-24,2,1,INE005B01027,2
AVANTIFEED,Avanti Feeds Limited,EQ,15-Apr-15,1,1,INE871C01038,1
AVL,Aditya Vision Limited,EQ,06-Nov-24,1,1,INE679V01027,1
AVTNPL,AVT Natural Products Limited,EQ,10-Jan-07,1,1,INE488D01021,1
AWFIS,Awfis Space Solutions Limited,EQ,30-May-24,10,1,INE108V01019,10
AWHCL,Antony Waste Handling Cell Limited,EQ,01-Jan-21,5,1,INE01BK01022,5
AWL,AWL Agri Business Limited,EQ,08-Feb-22,1,1,INE699H01024,1
AXISBANK,Axis Bank Limited,EQ,16-Nov-98,2,1,INE238A01034,2
AXISCADES,AXISCADES Technologies Limited,EQ,21-Dec-00,5,1,INE555B01013,5
AYE,Aye Finance Limited,EQ,16-Feb-26,2,1,INE501X01029,2
AYMSYNTEX,AYM Syntex Limited,EQ,14-Aug-15,10,1,INE193B01039,10
AZAD,Azad Engineering Limited,EQ,28-Dec-23,2,1,INE02IJ01035,2
BAJAJ-AUTO,Bajaj Auto Limited,EQ,26-May-08,10,1,INE917I01010,10
BAJAJCON,Bajaj Consumer Care Limited,EQ,18-Aug-10,1,1,INE933K01021,1
BAJAJELEC,Bajaj Electricals Limited,EQ,02-Nov-07,2,1,INE193E01025,2
BAJAJFINSV,Bajaj Finserv Limited,EQ,26-May-08,1,1,INE918I01026,1
BAJAJHCARE,Bajaj Healthcare Limited,EQ,25-Nov-21,5,1,INE411U01027,5
BAJAJHFL,Bajaj Housing Finance Limited,EQ,16-Sep-24,10,1,INE377Y01014,10
BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,10-May-95,1,1,INE306A01021,1
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,15-Mar-95,10,1,INE118A01012,10
BAJEL,Bajel Projects Limited,EQ,19-Dec-23,2,1,INE0KQN01018,2
BAJFINANCE,Bajaj Finance Limited,EQ,01-Apr-03,1,1,INE296A01032,1
BALAJITELE,Balaji Telefilms Limited,EQ,22-Nov-00,2,1,INE794B01026,2
BALAMINES,Balaji Amines Limited,EQ,05-Apr-07,2,1,INE050E01027,2
BALKRISIND,Balkrishna Industries Limited,EQ,27-Jan-06,2,1,INE787D01026,2
BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,06-Jul-95,10,1,INE164A01016,10
BALPHARMA,Bal Pharma Limited,EQ,08-May-06,10,1,INE083D01012,10
BALRAMCHIN,Balrampur Chini Mills Limited,EQ,08-Feb-95,1,1,INE119A01028,1
BALUFORGE,Balu Forge Industries Limited,EQ,29-Apr-24,10,1,INE011E01029,10
BANCOINDIA,Banco Products (I) Limited,EQ,22-Dec-06,2,1,INE213C01025,2
BANDHANBNK,Bandhan Bank Limited,EQ,27-Mar-18,10,1,INE545U01014,10
BANKBARODA,Bank of Baroda,EQ,19-Feb-97,2,1,INE028A01039,2
BANKINDIA,Bank of India,EQ,30-Apr-97,10,1,INE084A01016,10
BANSALWIRE,Bansal Wire Industries Limited,EQ,10-Jul-24,5,1,INE0B9K01025,5
BASF,BASF India Limited,EQ,17-May-95,10,1,INE373A01013,10
BATAINDIA,Bata India Limited,EQ,18-Jun-03,5,1,INE176A01028,5
BATLIBOI,Batliboi Limited,EQ,20-Apr-26,5,1,INE177C01022,5
BAYERCROP,Bayer Cropscience Limited,EQ,08-Jan-10,10,1,INE462A01022,10
BBL,Bharat Bijlee Limited,EQ,21-Nov-06,5,1,INE464A01036,5
BBOX,Black Box Limited,EQ,22-Jul-03,2,1,INE676A01027,2
BBTC,The Bombay Burmah Trading Corporation Limited,EQ,03-Apr-96,2,1,INE050A01025,2
BCG,Brightcom Group Limited,EQ,08-May-15,2,1,INE425B01027,2
BCLIND,Bcl Industries Limited,EQ,04-Mar-21,1,1,INE412G01024,1
BDL,Bharat Dynamics Limited,EQ,23-Mar-18,5,1,INE171Z01026,5
BECTORFOOD,Mrs. Bectors Food Specialities Limited,EQ,24-Dec-20,2,1,INE495P01020,2
BEL,Bharat Electronics Limited,EQ,19-Jul-00,1,1,INE263A01024,1
BELRISE,Belrise Industries Limited,EQ,28-May-25,5,1,INE894V01022,5
BEML,BEML Limited,EQ,05-Nov-03,5,1,INE258A01024,5
BEPL,Bhansali Engineering Polymers Limited,EQ,21-Mar-05,1,1,INE922A01025,1
BERGEPAINT,Berger Paints (I) Limited,EQ,24-Nov-99,1,1,INE463A01038,1
BESTAGRO,Best Agrolife Limited,EQ,10-Apr-24,1,1,INE052T01021,1
BETA,Beta Drugs Limited,EQ,24-Nov-25,10,1,INE351Y01019,10
BFINVEST,BF Investment Limited,EQ,14-Jan-11,5,1,INE878K01010,5
BFUTILITIE,BF Utilities Limited,EQ,03-May-07,5,1,INE243D01012,5
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,EQ,18-Oct-21,1,1,INE414D01027,1
BHAGYANGR,Bhagyanagar India Limited,EQ,17-May-17,2,1,INE458B01036,2
BHARATCOAL,Bharat Coking Coal Limited,EQ,19-Jan-26,10,1,INE05XR01022,10
BHARATFORG,Bharat Forge Limited,EQ,04-Apr-03,2,1,INE465A01025,2
BHARATRAS,Bharat Rasayan Limited,EQ,11-Oct-95,5,1,INE838B01021,5
BHARATSE,Bharat Seats Limited,EQ,24-Mar-25,2,1,INE415D01024,2
BHARATWIRE,Bharat Wire Ropes Limited,EQ,01-Apr-16,10,1,INE316L01019,10
BHARTIARTL,Bharti Airtel Limited,EQ,15-Feb-02,5,1,INE397D01024,5
BHARTIHEXA,Bharti Hexacom Limited,EQ,12-Apr-24,5,1,INE343G01021,5
BHEL,Bharat Heavy Electricals Limited,EQ,11-Nov-03,2,1,INE257A01026,2
BIKAJI,Bikaji Foods International Limited,EQ,16-Nov-22,1,1,INE00E101023,1
BIL,Bhartiya International Limited,EQ,12-Apr-00,10,1,INE828A01016,10
BIOCON,Biocon Limited,EQ,07-Apr-04,5,1,INE376G01013,5
BIRLACORPN,Birla Corporation Limited,EQ,12-Apr-95,10,1,INE340A01012,10
BIRLAMONEY,Aditya Birla Money Limited,EQ,07-Feb-08,1,1,INE865C01022,1
BIRLANU,BirlaNu Limited,EQ,26-Apr-95,10,1,INE557A01011,10
BIRLAPREC,Birla Precision Technologies Limited,EQ,20-Apr-26,2,1,INE372E01025,2
BLACKBUCK,BLACKBUCK LIMITED,EQ,22-Nov-24,1,1,INE0UIZ01018,1
BLEL,Behari Lal Engineering Limited,EQ,19-Aug-26,10,1,INE1EEM01017,10
BLKASHYAP,B. L. Kashyap and Sons Limited,EQ,17-Mar-06,1,1,INE350H01032,1
BLS,BLS International Services Limited,EQ,14-Jun-16,1,1,INE153T01027,1
BLSE,BLS E-Services Limited,EQ,06-Feb-24,10,1,INE0NLT01010,10
BLUECHIP,Blue Chip India Limited,EQ,12-Mar-97,2,1,INE657B01025,2
BLUECLOUDS,Blue Cloud Softech Solutions Limited,EQ,17-Aug-26,1,1,INE373T01047,1
BLUEDART,Blue Dart Express Limited,EQ,12-Dec-02,10,1,INE233B01017,10
BLUEJET,Blue Jet Healthcare Limited,EQ,01-Nov-23,2,1,INE0KBH01020,2
BLUESTARCO,Blue Star Limited,EQ,15-Jun-00,2,1,INE472A01039,2
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,EQ,19-Aug-25,1,1,INE304W01038,1
BLUSPRING,Bluspring Enterprises Limited,EQ,11-Jun-25,10,1,INE0U4101014,10
BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ,26-Apr-95,2,1,INE032A01023,2
BORANA,Borana Weaves Limited,EQ,27-May-25,10,1,INE16SF01016,10
BOROLTD,Borosil Limited,EQ,22-Jul-20,1,1,INE02PY01013,1
BORORENEW,BOROSIL RENEWABLES LIMITED,EQ,25-May-18,1,1,INE666D01022,1
BOROSCI,Borosil Scientific Limited,EQ,07-Jun-24,1,1,INE02L001032,1
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,EQ,03-Jan-00,10,1,INE782A01015,10
BOSCHLTD,Bosch Limited,EQ,12-May-03,10,1,INE323A01026,10
BPCL,Bharat Petroleum Corporation Limited,EQ,13-Sep-95,10,1,INE029A01011,10
BRIGADE,Brigade Enterprises Limited,EQ,31-Dec-07,10,1,INE791I01019,10
BRIGHOTEL,Brigade Hotel Ventures Limited,EQ,31-Jul-25,10,1,INE03NU01014,10
BRITANNIA,Britannia Industries Limited,EQ,05-Nov-98,1,1,INE216A01030,1
BSE,BSE Limited,EQ,03-Feb-17,2,1,INE118H01025,2
BSOFT,BIRLASOFT LIMITED,EQ,24-Nov-99,2,1,INE836A01035,2
BUILDPRO,Shankara Buildpro Limited,EQ,09-Jan-26,10,1,INE24OJ01011,10
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,EQ,28-Apr-14,10,1,INE295F01017,10
CALSOFT,California Software Company Limited,EQ,28-Jun-00,10,1,INE526B01014,10
CAMLINFINE,Camlin Fine Sciences Limited,EQ,20-Jan-15,1,1,INE052I01032,1
CAMPUS,Campus Activewear Limited,EQ,09-May-22,5,1,INE278Y01022,5
CAMS,Computer Age Management Services Limited,EQ,07-May-21,2,1,INE596I01020,2
CANBK,Canara Bank,EQ,23-Dec-02,2,1,INE476A01022,2
CANFINHOME,Can Fin Homes Limited,EQ,10-May-95,2,1,INE477A01020,2
CANHLIFE,Canara HSBC Life Insurance Company Limited,EQ,17-Oct-25,10,1,INE01TY01017,10
CANTABIL,Cantabil Retail India Limited,EQ,12-Oct-10,2,1,INE068L01024,2
CAPACITE,Capacit'e Infraprojects Limited,EQ,25-Sep-17,10,1,INE264T01014,10
CAPILLARY,Capillary Technologies India Limited,EQ,21-Nov-25,2,1,INE0ILV01024,2
CAPITALSFB,Capital Small Finance Bank Limited,EQ,14-Feb-24,10,1,INE646H01017,10
CAPLIPOINT,Caplin Point Laboratories Limited,EQ,23-Jun-14,2,1,INE475E01026,2
CARBORUNIV,Carborundum Universal Limited,EQ,03-Apr-96,1,1,INE120A01034,1
CARERATING,CARE Ratings Limited,EQ,26-Dec-12,10,1,INE752H01013,10
CARRARO,Carraro India Limited,EQ,30-Dec-24,10,1,INE0V7W01012,10
CARTRADE,Cartrade Tech Limited,EQ,20-Aug-21,10,1,INE290S01011,10
CARYSIL,CARYSIL LIMITED,EQ,14-Jan-21,2,1,INE482D01024,2
CASTROLIND,Castrol India Limited,EQ,14-Mar-14,5,1,INE172A01027,5
CCAVENUE,AvenuesAI Limited,EQ,04-Apr-16,1,1,INE483S01020,1
CCL,CCL Products (India) Limited,EQ,07-Jun-04,2,1,INE421D01022,2
CDSL,Central Depository Services (India) Limited,EQ,30-Jun-17,10,1,INE736A01011,10
CEATLTD,CEAT Limited,EQ,01-Feb-08,10,1,INE482A01020,10
CEIGALL,Ceigall India Limited,EQ,08-Aug-24,5,1,INE0AG901020,5
CEINSYS,Ceinsys Tech Limited,EQ,19-Feb-26,10,1,INE016Q01014,10
CELLO,Cello World Limited,EQ,06-Nov-23,5,1,INE0LMW01024,5
CEMPRO,Cemindia Projects Limited,EQ,10-Feb-99,1,1,INE686A01026,1
CENTENKA,Century Enka Limited,EQ,10-May-95,10,1,INE485A01015,10
CENTEXT,Century Extrusions Limited,EQ,20-Jul-04,1,1,INE281A01026,1
CENTRALBK,Central Bank of India,EQ,21-Aug-07,10,1,INE483A01010,10
CENTRUM,Centrum Capital Limited,EQ,04-Apr-18,1,1,INE660C01027,1
CENTUM,Centum Electronics Limited,EQ,05-Oct-07,10,1,INE320B01020,10
CENTURYPLY,Century Plyboards (India) Limited,EQ,23-Mar-06,1,1,INE348B01021,1
CERA,Cera Sanitaryware Limited,EQ,02-Nov-07,5,1,INE739E01017,5
CESC,CESC Limited,EQ,08-Feb-95,1,1,INE486A01021,1
CEWATER,Concord Enviro Systems Limited,EQ,27-Dec-24,5,1,INE037Z01029,5
CGCL,Capri Global Capital Limited,EQ,29-Oct-10,1,1,INE180C01042,1
CGPOWER,CG Power and Industrial Solutions Limited,EQ,01-Mar-95,2,1,INE067A01029,2
CHALET,Chalet Hotels Limited,EQ,07-Feb-19,10,1,INE427F01016,10
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ,14-Jun-95,10,1,INE085A01013,10
CHEMPLASTS,Chemplast Sanmar Limited,EQ,24-Aug-21,5,1,INE488A01050,5
CHENNPETRO,Chennai Petroleum Corporation Limited,EQ,07-Jun-00,10,1,INE178A01016,10
CHOICEIN,Choice International Limited,EQ,08-Apr-22,10,1,INE102B01014,10
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,15-May-96,2,1,INE121A01024,2
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,EQ,25-Sep-17,1,1,INE149A01033,1
CIEINDIA,CIE Automotive India Limited,EQ,30-Aug-07,10,1,INE536H01010,10
CIPLA,Cipla Limited,EQ,08-Feb-95,2,1,INE059A01026,2
CLEAN,Clean Science and Technology Limited,EQ,19-Jul-21,1,1,INE227W01023,1
CLEANMAX,Clean Max Enviro Energy Solutions Limited,EQ,02-Mar-26,1,1,INE647U01026,1
CLSEL,Chaman Lal Setia Exports Limited,EQ,12-May-21,2,1,INE419D01026,2
CMLL,Caliber Mining and Logistics Limited,EQ,24-Jul-26,10,1,INE11XY01018,10
CMPDI,Central Mine Planning & Design Institute Limited,EQ,30-Mar-26,2,1,INE05HV01027,2
CMRGREEN,CMR Green Technologies Limited,EQ,10-Jun-26,2,1,INE00WV01027,2
CMSINFO,CMS Info Systems Limited,EQ,31-Dec-21,10,1,INE925R01014,10
CNL,Creative Newtech Limited,EQ,05-Aug-19,10,1,INE985W01018,10
COALINDIA,Coal India Limited,EQ,04-Nov-10,10,1,INE522F01014,10
COASTCORP,Coastal Corporation Limited,EQ,08-Oct-21,2,1,INE377E01024,2
COCHINSHIP,Cochin Shipyard Limited,EQ,11-Aug-17,5,1,INE704P01025,5
COCKERILL,John Cockerill India Limited,EQ,20-Apr-26,10,1,INE515A01019,10
COFORGE,Coforge Limited,EQ,30-Aug-04,2,1,INE591G01025,2
COHANCE,Cohance Lifesciences Limited,EQ,09-Mar-20,1,1,INE03QK01018,1
